name,dis,freq,fga,eFG
James Harden,0-2 Feet,0.142,229,0.452
James Harden,2-4 Feet,0.476,768,0.539
James Harden,4-6 Feet,0.301,486,0.478
James Harden,6+ Feet,0.082,132,0.583
Stephen Curry,0-2 Feet,0.125,200,0.49
Stephen Curry,2-4 Feet,0.345,550,0.576
Stephen Curry,4-6 Feet,0.368,586,0.703
Stephen Curry,6+ Feet,0.162,258,0.69
Damian Lillard,0-2 Feet,0.175,258,0.444
Damian Lillard,2-4 Feet,0.37,544,0.429
Damian Lillard,4-6 Feet,0.348,512,0.547
Damian Lillard,6+ Feet,0.107,157,0.659
Paul George,0-2 Feet,0.149,216,0.396
Paul George,2-4 Feet,0.394,569,0.424
Paul George,4-6 Feet,0.327,472,0.547
Paul George,6+ Feet,0.13,188,0.662
Russell Westbrook,0-2 Feet,0.197,284,0.493
Russell Westbrook,2-4 Feet,0.384,554,0.466
Russell Westbrook,4-6 Feet,0.277,399,0.514
Russell Westbrook,6+ Feet,0.142,205,0.5
CJ McCollum,0-2 Feet,0.158,225,0.371
CJ McCollum,2-4 Feet,0.372,531,0.463
CJ McCollum,4-6 Feet,0.325,464,0.556
CJ McCollum,6+ Feet,0.144,206,0.733
LeBron James,0-2 Feet,0.198,280,0.561
LeBron James,2-4 Feet,0.379,535,0.559
LeBron James,4-6 Feet,0.292,412,0.495
LeBron James,6+ Feet,0.132,186,0.637
Klay Thompson,0-2 Feet,0.101,139,0.504
Klay Thompson,2-4 Feet,0.371,513,0.507
Klay Thompson,4-6 Feet,0.351,486,0.612
Klay Thompson,6+ Feet,0.177,245,0.659
Isaiah Thomas,0-2 Feet,0.205,279,0.432
Isaiah Thomas,2-4 Feet,0.44,600,0.455
Isaiah Thomas,4-6 Feet,0.273,372,0.547
Isaiah Thomas,6+ Feet,0.083,113,0.602
Kevin Durant,0-2 Feet,0.144,198,0.533
Kevin Durant,2-4 Feet,0.492,678,0.558
Kevin Durant,4-6 Feet,0.269,371,0.619
Kevin Durant,6+ Feet,0.096,132,0.583
DeMar DeRozan,0-2 Feet,0.213,289,0.493
DeMar DeRozan,2-4 Feet,0.494,670,0.451
DeMar DeRozan,4-6 Feet,0.228,310,0.46
DeMar DeRozan,6+ Feet,0.065,88,0.528
John Wall,0-2 Feet,0.124,167,0.491
John Wall,2-4 Feet,0.337,454,0.441
John Wall,4-6 Feet,0.362,488,0.447
John Wall,6+ Feet,0.177,239,0.542
DeMarcus Cousins,0-2 Feet,0.275,360,0.497
DeMarcus Cousins,2-4 Feet,0.354,464,0.487
DeMarcus Cousins,4-6 Feet,0.176,231,0.45
DeMarcus Cousins,6+ Feet,0.195,256,0.469
Kemba Walker,0-2 Feet,0.163,217,0.456
Kemba Walker,2-4 Feet,0.381,506,0.442
Kemba Walker,4-6 Feet,0.334,444,0.521
Kemba Walker,6+ Feet,0.122,162,0.648
Carmelo Anthony,0-2 Feet,0.176,230,0.411
Carmelo Anthony,2-4 Feet,0.449,587,0.459
Carmelo Anthony,4-6 Feet,0.297,388,0.495
Carmelo Anthony,6+ Feet,0.077,101,0.629
Andrew Wiggins,0-2 Feet,0.289,374,0.457
Andrew Wiggins,2-4 Feet,0.389,503,0.465
Andrew Wiggins,4-6 Feet,0.215,278,0.489
Andrew Wiggins,6+ Feet,0.106,137,0.58
Reggie Jackson,0-2 Feet,0.197,245,0.488
Reggie Jackson,2-4 Feet,0.432,536,0.45
Reggie Jackson,4-6 Feet,0.283,351,0.503
Reggie Jackson,6+ Feet,0.088,109,0.56
Gordon Hayward,0-2 Feet,0.152,183,0.41
Gordon Hayward,2-4 Feet,0.315,379,0.462
Gordon Hayward,4-6 Feet,0.322,387,0.477
Gordon Hayward,6+ Feet,0.21,253,0.625
Kyle Lowry,0-2 Feet,0.177,208,0.457
Kyle Lowry,2-4 Feet,0.407,479,0.469
Kyle Lowry,4-6 Feet,0.29,341,0.545
