name,dis,freq,fga,eFG
Kyle Lowry,6+ Feet,0.127,149,0.715
Dwyane Wade,0-2 Feet,0.179,212,0.505
Dwyane Wade,2-4 Feet,0.512,606,0.436
Dwyane Wade,4-6 Feet,0.258,305,0.452
Dwyane Wade,6+ Feet,0.051,60,0.567
Brook Lopez,0-2 Feet,0.236,272,0.54
Brook Lopez,2-4 Feet,0.409,472,0.517
Brook Lopez,4-6 Feet,0.229,264,0.506
Brook Lopez,6+ Feet,0.126,145,0.452
Karl-Anthony Towns,0-2 Feet,0.243,280,0.525
Karl-Anthony Towns,2-4 Feet,0.308,354,0.607
Karl-Anthony Towns,4-6 Feet,0.258,297,0.525
Karl-Anthony Towns,6+ Feet,0.19,219,0.553
Khris Middleton,0-2 Feet,0.143,163,0.399
Khris Middleton,2-4 Feet,0.488,556,0.457
Khris Middleton,4-6 Feet,0.268,305,0.566
Khris Middleton,6+ Feet,0.102,116,0.737
Anthony Davis,0-2 Feet,0.204,231,0.481
Anthony Davis,2-4 Feet,0.38,431,0.527
Anthony Davis,4-6 Feet,0.284,322,0.455
Anthony Davis,6+ Feet,0.133,151,0.609
Chris Paul,0-2 Feet,0.063,70,0.471
Chris Paul,2-4 Feet,0.342,381,0.459
Chris Paul,4-6 Feet,0.417,464,0.551
Chris Paul,6+ Feet,0.179,199,0.57
Kobe Bryant,0-2 Feet,0.122,135,0.359
Kobe Bryant,2-4 Feet,0.532,591,0.404
Kobe Bryant,4-6 Feet,0.268,297,0.451
Kobe Bryant,6+ Feet,0.078,87,0.489
Dirk Nowitzki,0-2 Feet,0.088,98,0.49
Dirk Nowitzki,2-4 Feet,0.443,493,0.446
Dirk Nowitzki,4-6 Feet,0.281,312,0.524
Dirk Nowitzki,6+ Feet,0.188,209,0.62
Jordan Clarkson,0-2 Feet,0.207,227,0.416
Jordan Clarkson,2-4 Feet,0.369,405,0.453
Jordan Clarkson,4-6 Feet,0.295,324,0.489
Jordan Clarkson,6+ Feet,0.129,141,0.66
Kawhi Leonard,0-2 Feet,0.154,168,0.485
Kawhi Leonard,2-4 Feet,0.351,382,0.543
Kawhi Leonard,4-6 Feet,0.35,381,0.58
Kawhi Leonard,6+ Feet,0.144,157,0.678
Paul Millsap,0-2 Feet,0.183,194,0.397
Paul Millsap,2-4 Feet,0.397,422,0.521
Paul Millsap,4-6 Feet,0.247,263,0.54
Paul Millsap,6+ Feet,0.173,184,0.527
Andre Drummond,0-2 Feet,0.331,350,0.44
Andre Drummond,2-4 Feet,0.55,581,0.539
Andre Drummond,4-6 Feet,0.092,97,0.649
Andre Drummond,6+ Feet,0.027,28,0.714
Al Horford,0-2 Feet,0.111,116,0.578
Al Horford,2-4 Feet,0.264,277,0.563
Al Horford,4-6 Feet,0.244,256,0.559
Al Horford,6+ Feet,0.381,399,0.519
Derrick Rose,0-2 Feet,0.197,206,0.35
Derrick Rose,2-4 Feet,0.446,467,0.461
Derrick Rose,4-6 Feet,0.305,319,0.472
Derrick Rose,6+ Feet,0.052,54,0.574
Nikola Vucevic,0-2 Feet,0.196,200,0.48
Nikola Vucevic,2-4 Feet,0.401,410,0.544
Nikola Vucevic,4-6 Feet,0.231,236,0.53
Nikola Vucevic,6+ Feet,0.173,177,0.458
LaMarcus Aldridge,0-2 Feet,0.192,200,0.515
LaMarcus Aldridge,2-4 Feet,0.356,372,0.543
LaMarcus Aldridge,4-6 Feet,0.212,221,0.516
LaMarcus Aldridge,6+ Feet,0.24,251,0.462
Jimmy Butler,0-2 Feet,0.207,214,0.423
Jimmy Butler,2-4 Feet,0.418,432,0.512
Jimmy Butler,4-6 Feet,0.269,278,0.464
Jimmy Butler,6+ Feet,0.106,110,0.559
Monta Ellis,0-2 Feet,0.134,137,0.5
Monta Ellis,2-4 Feet,0.394,402,0.458
Monta Ellis,4-6 Feet,0.313,319,0.418
Monta Ellis,6+ Feet,0.159,162,0.577
Avery Bradley,0-2 Feet,0.103,103,0.549
Avery Bradley,2-4 Feet,0.396,397,0.492
Avery Bradley,4-6 Feet,0.314,315,0.508
Avery Bradley,6+ Feet,0.187,188,0.577
Giannis Antetokounmpo,0-2 Feet,0.225,227,0.476
Giannis Antetokounmpo,2-4 Feet,0.416,420,0.574
Giannis Antetokounmpo,4-6 Feet,0.21,212,0.521
Giannis Antetokounmpo,6+ Feet,0.149,150,0.443
Rudy Gay,0-2 Feet,0.202,200,0.43
Rudy Gay,2-4 Feet,0.41,407,0.485
Rudy Gay,4-6 Feet,0.238,236,0.523
Rudy Gay,6+ Feet,0.15,149,0.591
Pau Gasol,0-2 Feet,0.196,195,0.451
Pau Gasol,2-4 Feet,0.315,313,0.446
Pau Gasol,4-6 Feet,0.267,265,0.47
Pau Gasol,6+ Feet,0.222,220,0.577
Jeff Teague,0-2 Feet,0.172,169,0.408
Jeff Teague,2-4 Feet,0.35,344,0.451
Jeff Teague,4-6 Feet,0.249,245,0.457
Jeff Teague,6+ Feet,0.228,224,0.679
Will Barton,0-2 Feet,0.193,190,0.421
Will Barton,2-4 Feet,0.4,393,0.496
Will Barton,4-6 Feet,0.294,289,0.522
Will Barton,6+ Feet,0.112,110,0.5
Kevin Love,0-2 Feet,0.127,124,0.415
Kevin Love,2-4 Feet,0.273,266,0.498
Kevin Love,4-6 Feet,0.296,289,0.464
Kevin Love,6+ Feet,0.304,296,0.574
Rodney Hood,0-2 Feet,0.196,190,0.432
Rodney Hood,2-4 Feet,0.334,324,0.449
Rodney Hood,4-6 Feet,0.316,307,0.552
Rodney Hood,6+ Feet,0.154,150,0.61
Victor Oladipo,0-2 Feet,0.197,187,0.409
Victor Oladipo,2-4 Feet,0.289,274,0.484
Victor Oladipo,4-6 Feet,0.322,305,0.492
Victor Oladipo,6+ Feet,0.192,182,0.563
Ish Smith,0-2 Feet,0.162,156,0.506
Ish Smith,2-4 Feet,0.431,416,0.403
Ish Smith,4-6 Feet,0.266,257,0.428
Ish Smith,6+ Feet,0.141,136,0.504
Thaddeus Young,0-2 Feet,0.299,287,0.467
Thaddeus Young,2-4 Feet,0.422,405,0.542
Thaddeus Young,4-6 Feet,0.191,183,0.557
Thaddeus Young,6+ Feet,0.088,84,0.5
Kentavious Caldwell-Pope,0-2 Feet,0.165,158,0.38
Kentavious Caldwell-Pope,2-4 Feet,0.35,335,0.482
Kentavious Caldwell-Pope,4-6 Feet,0.301,288,0.505
Kentavious Caldwell-Pope,6+ Feet,0.184,176,0.52
Zach LaVine,0-2 Feet,0.169,161,0.422
Zach LaVine,2-4 Feet,0.353,337,0.464
Zach LaVine,4-6 Feet,0.311,297,0.561
Zach LaVine,6+ Feet,0.168,160,0.628
