name,dis,freq,fga,eFG
Kyle Lowry,4-6 Feet,0.3,313,0.479
Kyle Lowry,6+ Feet,0.128,133,0.602
Joe Johnson,0-2 Feet,0.192,194,0.446
Joe Johnson,2-4 Feet,0.336,340,0.507
Joe Johnson,4-6 Feet,0.288,291,0.495
Joe Johnson,6+ Feet,0.185,187,0.548
Avery Bradley,0-2 Feet,0.117,118,0.424
Avery Bradley,2-4 Feet,0.344,347,0.486
Avery Bradley,4-6 Feet,0.361,365,0.477
Avery Bradley,6+ Feet,0.178,180,0.569
Al Jefferson,0-2 Feet,0.282,284,0.465
Al Jefferson,2-4 Feet,0.445,448,0.467
Al Jefferson,4-6 Feet,0.209,210,0.514
Al Jefferson,6+ Feet,0.065,65,0.538
Trey Burke,0-2 Feet,0.173,174,0.339
Trey Burke,2-4 Feet,0.361,362,0.435
Trey Burke,4-6 Feet,0.336,337,0.442
Trey Burke,6+ Feet,0.13,130,0.504
Goran Dragic,0-2 Feet,0.191,189,0.548
Goran Dragic,2-4 Feet,0.387,384,0.548
Goran Dragic,4-6 Feet,0.309,307,0.547
Goran Dragic,6+ Feet,0.113,112,0.58
Reggie Jackson,0-2 Feet,0.192,190,0.416
Reggie Jackson,2-4 Feet,0.394,391,0.496
Reggie Jackson,4-6 Feet,0.283,281,0.447
Reggie Jackson,6+ Feet,0.131,130,0.515
DeMar DeRozan,0-2 Feet,0.187,185,0.454
DeMar DeRozan,2-4 Feet,0.508,502,0.387
DeMar DeRozan,4-6 Feet,0.252,249,0.452
DeMar DeRozan,6+ Feet,0.053,52,0.587
Brook Lopez,0-2 Feet,0.236,223,0.529
Brook Lopez,2-4 Feet,0.431,406,0.537
Brook Lopez,4-6 Feet,0.161,152,0.487
Brook Lopez,6+ Feet,0.172,162,0.503
Josh Smith,0-2 Feet,0.263,258,0.384
Josh Smith,2-4 Feet,0.32,314,0.498
Josh Smith,4-6 Feet,0.21,206,0.476
Josh Smith,6+ Feet,0.207,203,0.453
Kemba Walker,0-2 Feet,0.186,182,0.368
Kemba Walker,2-4 Feet,0.404,394,0.405
Kemba Walker,4-6 Feet,0.297,290,0.476
Kemba Walker,6+ Feet,0.113,110,0.495
Wilson Chandler,0-2 Feet,0.176,171,0.491
Wilson Chandler,2-4 Feet,0.399,388,0.474
Wilson Chandler,4-6 Feet,0.295,287,0.493
Wilson Chandler,6+ Feet,0.13,126,0.611
