name,dis,freq,fga,eFG
Russell Westbrook,0-2 Feet,0.172,333,0.435
Russell Westbrook,2-4 Feet,0.392,760,0.463
Russell Westbrook,4-6 Feet,0.323,625,0.478
Russell Westbrook,6+ Feet,0.113,219,0.584
Andrew Wiggins,0-2 Feet,0.259,406,0.417
Andrew Wiggins,2-4 Feet,0.399,626,0.496
Andrew Wiggins,4-6 Feet,0.225,353,0.534
Andrew Wiggins,6+ Feet,0.116,182,0.505
DeMar DeRozan,0-2 Feet,0.22,334,0.475
DeMar DeRozan,2-4 Feet,0.523,795,0.486
DeMar DeRozan,4-6 Feet,0.221,336,0.494
DeMar DeRozan,6+ Feet,0.036,54,0.38
James Harden,0-2 Feet,0.139,213,0.472
James Harden,2-4 Feet,0.503,770,0.508
James Harden,4-6 Feet,0.284,435,0.561
James Harden,6+ Feet,0.074,113,0.611
Anthony Davis,0-2 Feet,0.233,355,0.493
Anthony Davis,2-4 Feet,0.394,600,0.542
Anthony Davis,4-6 Feet,0.238,363,0.483
Anthony Davis,6+ Feet,0.135,205,0.549
Damian Lillard,0-2 Feet,0.178,263,0.443
Damian Lillard,2-4 Feet,0.373,553,0.521
Damian Lillard,4-6 Feet,0.342,507,0.524
Damian Lillard,6+ Feet,0.107,158,0.582
Karl-Anthony Towns,0-2 Feet,0.288,426,0.572
Karl-Anthony Towns,2-4 Feet,0.339,501,0.593
Karl-Anthony Towns,4-6 Feet,0.194,287,0.559
Karl-Anthony Towns,6+ Feet,0.178,263,0.576
Isaiah Thomas,0-2 Feet,0.215,316,0.468
Isaiah Thomas,2-4 Feet,0.445,655,0.524
Isaiah Thomas,4-6 Feet,0.264,388,0.586
Isaiah Thomas,6+ Feet,0.077,113,0.757
Kemba Walker,0-2 Feet,0.208,301,0.467
Kemba Walker,2-4 Feet,0.372,538,0.524
Kemba Walker,4-6 Feet,0.304,439,0.527
Kemba Walker,6+ Feet,0.116,167,0.647
Stephen Curry,0-2 Feet,0.119,173,0.503
Stephen Curry,2-4 Feet,0.304,443,0.497
Stephen Curry,4-6 Feet,0.377,549,0.615
Stephen Curry,6+ Feet,0.2,292,0.673
CJ McCollum,0-2 Feet,0.203,292,0.449
CJ McCollum,2-4 Feet,0.406,585,0.535
CJ McCollum,4-6 Feet,0.284,409,0.55
CJ McCollum,6+ Feet,0.108,155,0.742
John Wall,0-2 Feet,0.164,232,0.461
John Wall,2-4 Feet,0.354,502,0.454
John Wall,4-6 Feet,0.33,468,0.486
John Wall,6+ Feet,0.152,216,0.546
DeMarcus Cousins,0-2 Feet,0.246,351,0.473
DeMarcus Cousins,2-4 Feet,0.344,492,0.487
DeMarcus Cousins,4-6 Feet,0.248,354,0.487
DeMarcus Cousins,6+ Feet,0.162,232,0.575
Devin Booker,0-2 Feet,0.168,233,0.388
Devin Booker,2-4 Feet,0.428,593,0.436
Devin Booker,4-6 Feet,0.294,407,0.51
Devin Booker,6+ Feet,0.11,152,0.592
Kyrie Irving,0-2 Feet,0.178,252,0.478
Kyrie Irving,2-4 Feet,0.431,611,0.52
Kyrie Irving,4-6 Feet,0.28,397,0.563
Kyrie Irving,6+ Feet,0.112,159,0.616
Carmelo Anthony,0-2 Feet,0.135,187,0.436
Carmelo Anthony,2-4 Feet,0.472,656,0.473
Carmelo Anthony,4-6 Feet,0.293,407,0.488
Carmelo Anthony,6+ Feet,0.1,139,0.629
Klay Thompson,0-2 Feet,0.113,157,0.494
Klay Thompson,2-4 Feet,0.386,534,0.495
Klay Thompson,4-6 Feet,0.31,429,0.598
Klay Thompson,6+ Feet,0.191,265,0.694
Paul George,0-2 Feet,0.126,167,0.503
Paul George,2-4 Feet,0.383,509,0.513
Paul George,4-6 Feet,0.36,478,0.544
Paul George,6+ Feet,0.132,175,0.631
LeBron James,0-2 Feet,0.164,220,0.614
LeBron James,2-4 Feet,0.367,492,0.609
LeBron James,4-6 Feet,0.313,420,0.564
LeBron James,6+ Feet,0.156,210,0.602
Bradley Beal,0-2 Feet,0.131,171,0.442
Bradley Beal,2-4 Feet,0.316,414,0.542
Bradley Beal,4-6 Feet,0.331,433,0.594
Bradley Beal,6+ Feet,0.223,292,0.639
Kawhi Leonard,0-2 Feet,0.141,182,0.374
Kawhi Leonard,2-4 Feet,0.375,484,0.498
Kawhi Leonard,4-6 Feet,0.376,486,0.603
Kawhi Leonard,6+ Feet,0.108,139,0.68
Harrison Barnes,0-2 Feet,0.146,184,0.527
Harrison Barnes,2-4 Feet,0.393,495,0.472
Harrison Barnes,4-6 Feet,0.289,365,0.474
Harrison Barnes,6+ Feet,0.172,217,0.571
Giannis Antetokounmpo,0-2 Feet,0.229,286,0.598
Giannis Antetokounmpo,2-4 Feet,0.396,494,0.58
Giannis Antetokounmpo,4-6 Feet,0.223,278,0.45
Giannis Antetokounmpo,6+ Feet,0.152,189,0.513
Jimmy Butler,0-2 Feet,0.202,252,0.474
Jimmy Butler,2-4 Feet,0.438,548,0.472
Jimmy Butler,4-6 Feet,0.262,327,0.471
Jimmy Butler,6+ Feet,0.098,123,0.671
Dennis Schroder,0-2 Feet,0.214,259,0.45
Dennis Schroder,2-4 Feet,0.384,465,0.482
Dennis Schroder,4-6 Feet,0.281,340,0.515
Dennis Schroder,6+ Feet,0.122,148,0.551
Brook Lopez,0-2 Feet,0.235,274,0.52
Brook Lopez,2-4 Feet,0.322,376,0.531
Brook Lopez,4-6 Feet,0.188,220,0.543
Brook Lopez,6+ Feet,0.255,298,0.525
Marc Gasol,0-2 Feet,0.115,133,0.496
Marc Gasol,2-4 Feet,0.328,380,0.488
Marc Gasol,4-6 Feet,0.266,308,0.506
Marc Gasol,6+ Feet,0.292,339,0.521
