name,dis,freq,fga,eFG
Gordon Hayward,0-2 Feet,0.153,177,0.444
Gordon Hayward,2-4 Feet,0.336,388,0.477
Gordon Hayward,4-6 Feet,0.354,409,0.609
Gordon Hayward,6+ Feet,0.157,181,0.591
Goran Dragic,0-2 Feet,0.189,212,0.491
Goran Dragic,2-4 Feet,0.382,428,0.48
Goran Dragic,4-6 Feet,0.33,370,0.582
Goran Dragic,6+ Feet,0.098,110,0.623
Jordan Clarkson,0-2 Feet,0.186,199,0.49
Jordan Clarkson,2-4 Feet,0.397,424,0.475
Jordan Clarkson,4-6 Feet,0.299,320,0.486
Jordan Clarkson,6+ Feet,0.118,126,0.635
Tobias Harris,0-2 Feet,0.168,178,0.503
Tobias Harris,2-4 Feet,0.359,381,0.534
Tobias Harris,4-6 Feet,0.294,312,0.554
Tobias Harris,6+ Feet,0.179,190,0.524
LaMarcus Aldridge,0-2 Feet,0.163,169,0.521
LaMarcus Aldridge,2-4 Feet,0.33,341,0.512
LaMarcus Aldridge,4-6 Feet,0.26,269,0.459
LaMarcus Aldridge,6+ Feet,0.247,255,0.467
Eric Bledsoe,0-2 Feet,0.144,145,0.521
Eric Bledsoe,2-4 Feet,0.361,365,0.464
Eric Bledsoe,4-6 Feet,0.329,332,0.505
Eric Bledsoe,6+ Feet,0.166,168,0.482
Nikola Vucevic,0-2 Feet,0.159,164,0.463
Nikola Vucevic,2-4 Feet,0.364,375,0.507
Nikola Vucevic,4-6 Feet,0.222,228,0.487
Nikola Vucevic,6+ Feet,0.255,262,0.445
Kevin Durant,0-2 Feet,0.156,161,0.565
Kevin Durant,2-4 Feet,0.465,480,0.554
Kevin Durant,4-6 Feet,0.269,278,0.635
Kevin Durant,6+ Feet,0.109,113,0.699
Eric Gordon,0-2 Feet,0.104,105,0.452
Eric Gordon,2-4 Feet,0.252,256,0.482
Eric Gordon,4-6 Feet,0.337,342,0.523
Eric Gordon,6+ Feet,0.307,311,0.595
Mike Conley,0-2 Feet,0.127,128,0.422
Mike Conley,2-4 Feet,0.318,320,0.498
Mike Conley,4-6 Feet,0.389,392,0.589
Mike Conley,6+ Feet,0.166,167,0.629
Marcus Morris,0-2 Feet,0.117,117,0.44
Marcus Morris,2-4 Feet,0.368,369,0.453
Marcus Morris,4-6 Feet,0.35,351,0.477
Marcus Morris,6+ Feet,0.165,165,0.545
Lou Williams,0-2 Feet,0.169,168,0.429
Lou Williams,2-4 Feet,0.417,415,0.48
Lou Williams,4-6 Feet,0.298,297,0.566
Lou Williams,6+ Feet,0.116,115,0.604
Kristaps Porzingis,0-2 Feet,0.147,144,0.476
Kristaps Porzingis,2-4 Feet,0.39,383,0.467
Kristaps Porzingis,4-6 Feet,0.266,261,0.513
Kristaps Porzingis,6+ Feet,0.198,194,0.598
Serge Ibaka,0-2 Feet,0.119,114,0.548
Serge Ibaka,2-4 Feet,0.343,330,0.517
Serge Ibaka,4-6 Feet,0.293,282,0.507
Serge Ibaka,6+ Feet,0.245,236,0.61
Derrick Rose,0-2 Feet,0.258,251,0.466
Derrick Rose,2-4 Feet,0.409,398,0.487
Derrick Rose,4-6 Feet,0.259,252,0.462
Derrick Rose,6+ Feet,0.074,72,0.514
Nicolas Batum,0-2 Feet,0.136,132,0.417
Nicolas Batum,2-4 Feet,0.418,407,0.452
Nicolas Batum,4-6 Feet,0.282,274,0.495
Nicolas Batum,6+ Feet,0.164,160,0.538
Hassan Whiteside,0-2 Feet,0.276,266,0.5
Hassan Whiteside,2-4 Feet,0.493,476,0.595
Hassan Whiteside,4-6 Feet,0.176,170,0.529
Hassan Whiteside,6+ Feet,0.055,53,0.585
Paul Millsap,0-2 Feet,0.137,133,0.376
Paul Millsap,2-4 Feet,0.406,393,0.497
Paul Millsap,4-6 Feet,0.289,280,0.518
Paul Millsap,6+ Feet,0.167,162,0.463
Blake Griffin,0-2 Feet,0.254,245,0.473
Blake Griffin,2-4 Feet,0.266,257,0.576
Blake Griffin,4-6 Feet,0.269,260,0.477
Blake Griffin,6+ Feet,0.21,203,0.527
Zach Randolph,0-2 Feet,0.257,247,0.51
Zach Randolph,2-4 Feet,0.34,327,0.48
Zach Randolph,4-6 Feet,0.271,260,0.392
Zach Randolph,6+ Feet,0.132,127,0.461
Dwyane Wade,0-2 Feet,0.178,170,0.459
Dwyane Wade,2-4 Feet,0.502,479,0.421
Dwyane Wade,4-6 Feet,0.248,237,0.515
Dwyane Wade,6+ Feet,0.071,68,0.5
Wilson Chandler,0-2 Feet,0.177,161,0.562
Wilson Chandler,2-4 Feet,0.427,389,0.49
Wilson Chandler,4-6 Feet,0.293,267,0.537
Wilson Chandler,6+ Feet,0.102,93,0.473
Victor Oladipo,0-2 Feet,0.155,144,0.455
Victor Oladipo,2-4 Feet,0.319,296,0.493
Victor Oladipo,4-6 Feet,0.349,324,0.511
Victor Oladipo,6+ Feet,0.177,164,0.601
