name,dis,freq,fga,eFG
John Wall,6+ Feet,0.179,236,0.566
Damian Lillard,0-2 Feet,0.174,226,0.409
Damian Lillard,2-4 Feet,0.344,448,0.485
Damian Lillard,4-6 Feet,0.317,412,0.515
Damian Lillard,6+ Feet,0.165,215,0.644
Thaddeus Young,0-2 Feet,0.259,332,0.443
Thaddeus Young,2-4 Feet,0.325,416,0.537
Thaddeus Young,4-6 Feet,0.248,318,0.476
Thaddeus Young,6+ Feet,0.168,215,0.477
Monta Ellis,0-2 Feet,0.187,238,0.473
Monta Ellis,2-4 Feet,0.377,480,0.475
Monta Ellis,4-6 Feet,0.287,366,0.456
Monta Ellis,6+ Feet,0.149,190,0.537
Dirk Nowitzki,0-2 Feet,0.097,123,0.496
Dirk Nowitzki,2-4 Feet,0.444,565,0.547
Dirk Nowitzki,4-6 Feet,0.302,384,0.523
Dirk Nowitzki,6+ Feet,0.157,200,0.638
Klay Thompson,0-2 Feet,0.119,147,0.442
Klay Thompson,2-4 Feet,0.393,484,0.469
Klay Thompson,4-6 Feet,0.305,376,0.58
Klay Thompson,6+ Feet,0.183,226,0.624
Kyrie Irving,0-2 Feet,0.21,259,0.411
Kyrie Irving,2-4 Feet,0.374,461,0.473
Kyrie Irving,4-6 Feet,0.294,362,0.481
Kyrie Irving,6+ Feet,0.122,151,0.629
Josh Smith,0-2 Feet,0.229,282,0.457
Josh Smith,2-4 Feet,0.335,412,0.455
Josh Smith,4-6 Feet,0.28,345,0.416
Josh Smith,6+ Feet,0.156,192,0.466
James Harden,0-2 Feet,0.169,203,0.488
James Harden,2-4 Feet,0.338,407,0.502
James Harden,4-6 Feet,0.355,428,0.526
James Harden,6+ Feet,0.138,166,0.657
Zach Randolph,0-2 Feet,0.357,427,0.45
Zach Randolph,2-4 Feet,0.36,431,0.497
Zach Randolph,4-6 Feet,0.208,249,0.48
Zach Randolph,6+ Feet,0.074,89,0.399
DeMarcus Cousins,0-2 Feet,0.318,368,0.5
DeMarcus Cousins,2-4 Feet,0.339,393,0.506
DeMarcus Cousins,4-6 Feet,0.215,249,0.478
DeMarcus Cousins,6+ Feet,0.129,149,0.463
Rudy Gay,0-2 Feet,0.264,304,0.433
Rudy Gay,2-4 Feet,0.434,500,0.49
Rudy Gay,4-6 Feet,0.213,245,0.476
Rudy Gay,6+ Feet,0.089,102,0.627
Jeff Green,0-2 Feet,0.206,240,0.46
Jeff Green,2-4 Feet,0.377,439,0.435
Jeff Green,4-6 Feet,0.256,298,0.46
Jeff Green,6+ Feet,0.161,187,0.575
Bradley Beal,0-2 Feet,0.127,143,0.434
Bradley Beal,2-4 Feet,0.336,379,0.416
Bradley Beal,4-6 Feet,0.338,382,0.47
Bradley Beal,6+ Feet,0.199,225,0.631
Kemba Walker,0-2 Feet,0.154,174,0.385
Kemba Walker,2-4 Feet,0.342,386,0.408
Kemba Walker,4-6 Feet,0.336,379,0.456
Kemba Walker,6+ Feet,0.168,189,0.524
Brandon Jennings,0-2 Feet,0.135,153,0.379
Brandon Jennings,2-4 Feet,0.39,441,0.339
Brandon Jennings,4-6 Feet,0.329,372,0.517
Brandon Jennings,6+ Feet,0.146,165,0.588
Isaiah Thomas,0-2 Feet,0.127,136,0.426
Isaiah Thomas,2-4 Feet,0.415,444,0.494
Isaiah Thomas,4-6 Feet,0.33,353,0.504
Isaiah Thomas,6+ Feet,0.127,136,0.665
Goran Dragic,0-2 Feet,0.203,222,0.536
Goran Dragic,2-4 Feet,0.378,413,0.484
Goran Dragic,4-6 Feet,0.316,345,0.638
Goran Dragic,6+ Feet,0.103,113,0.655
Brandon Knight,0-2 Feet,0.177,193,0.42
Brandon Knight,2-4 Feet,0.329,358,0.468
Brandon Knight,4-6 Feet,0.303,330,0.52
Brandon Knight,6+ Feet,0.191,208,0.462
Kyle Lowry,0-2 Feet,0.155,165,0.4
Kyle Lowry,2-4 Feet,0.378,401,0.474
Kyle Lowry,4-6 Feet,0.313,332,0.527
Kyle Lowry,6+ Feet,0.154,164,0.689
Michael Carter-Williams,0-2 Feet,0.316,332,0.345
Michael Carter-Williams,2-4 Feet,0.363,382,0.474
Michael Carter-Williams,4-6 Feet,0.243,256,0.428
Michael Carter-Williams,6+ Feet,0.078,82,0.579
Paul Millsap,0-2 Feet,0.279,287,0.449
Paul Millsap,2-4 Feet,0.322,331,0.494
Paul Millsap,4-6 Feet,0.207,213,0.519
Paul Millsap,6+ Feet,0.192,197,0.561
Jeff Teague,0-2 Feet,0.209,213,0.399
Jeff Teague,2-4 Feet,0.352,358,0.453
Jeff Teague,4-6 Feet,0.258,263,0.506
Jeff Teague,6+ Feet,0.181,184,0.573
Gordon Hayward,0-2 Feet,0.135,139,0.406
Gordon Hayward,2-4 Feet,0.261,269,0.454
Gordon Hayward,4-6 Feet,0.354,365,0.459
Gordon Hayward,6+ Feet,0.251,259,0.473
Mike Conley,0-2 Feet,0.156,160,0.431
Mike Conley,2-4 Feet,0.321,330,0.483
Mike Conley,4-6 Feet,0.306,315,0.513
Mike Conley,6+ Feet,0.217,223,0.563
Kevin Martin,0-2 Feet,0.18,183,0.418
Kevin Martin,2-4 Feet,0.412,419,0.438
Kevin Martin,4-6 Feet,0.258,263,0.527
Kevin Martin,6+ Feet,0.15,153,0.631
Evan Turner,0-2 Feet,0.248,251,0.396
Evan Turner,2-4 Feet,0.383,388,0.461
Evan Turner,4-6 Feet,0.258,262,0.431
Evan Turner,6+ Feet,0.111,113,0.571
Joe Johnson,0-2 Feet,0.194,194,0.433
Joe Johnson,2-4 Feet,0.344,344,0.493
Joe Johnson,4-6 Feet,0.269,269,0.528
Joe Johnson,6+ Feet,0.192,192,0.688
Greg Monroe,0-2 Feet,0.438,445,0.474
Greg Monroe,2-4 Feet,0.369,375,0.547
Greg Monroe,4-6 Feet,0.145,147,0.483
Greg Monroe,6+ Feet,0.047,48,0.354
Arron Afflalo,0-2 Feet,0.13,131,0.431
Arron Afflalo,2-4 Feet,0.451,456,0.471
Arron Afflalo,4-6 Feet,0.303,306,0.593
Arron Afflalo,6+ Feet,0.117,118,0.636
Jamal Crawford,0-2 Feet,0.144,145,0.445
Jamal Crawford,2-4 Feet,0.42,423,0.476
Jamal Crawford,4-6 Feet,0.295,297,0.522
Jamal Crawford,6+ Feet,0.141,142,0.553
Wesley Matthews,0-2 Feet,0.122,123,0.467
Wesley Matthews,2-4 Feet,0.295,297,0.473
Wesley Matthews,4-6 Feet,0.317,319,0.511
Wesley Matthews,6+ Feet,0.266,268,0.683
Gerald Green,0-2 Feet,0.077,77,0.403
Gerald Green,2-4 Feet,0.358,358,0.511
Gerald Green,4-6 Feet,0.332,332,0.539
Gerald Green,6+ Feet,0.233,233,0.661
Anthony Davis,0-2 Feet,0.278,279,0.52
Anthony Davis,2-4 Feet,0.368,369,0.531
Anthony Davis,4-6 Feet,0.252,253,0.516
Anthony Davis,6+ Feet,0.101,101,0.49
Dion Waiters,0-2 Feet,0.151,149,0.436
Dion Waiters,2-4 Feet,0.375,371,0.458
Dion Waiters,4-6 Feet,0.339,335,0.493
Dion Waiters,6+ Feet,0.135,134,0.556
Chandler Parsons,0-2 Feet,0.184,181,0.459
Chandler Parsons,2-4 Feet,0.378,373,0.524
Chandler Parsons,4-6 Feet,0.28,276,0.551
Chandler Parsons,6+ Feet,0.158,156,0.644
David Lee,0-2 Feet,0.395,380,0.487
David Lee,2-4 Feet,0.4,384,0.591
David Lee,4-6 Feet,0.118,113,0.531
David Lee,6+ Feet,0.087,84,0.405
Carlos Boozer,0-2 Feet,0.216,210,0.476
Carlos Boozer,2-4 Feet,0.39,378,0.455
Carlos Boozer,4-6 Feet,0.293,284,0.44
Carlos Boozer,6+ Feet,0.101,98,0.449
Serge Ibaka,0-2 Feet,0.168,164,0.543
Serge Ibaka,2-4 Feet,0.286,279,0.57
Serge Ibaka,4-6 Feet,0.253,247,0.53
Serge Ibaka,6+ Feet,0.292,285,0.546
JR Smith,0-2 Feet,0.09,86,0.413
JR Smith,2-4 Feet,0.313,299,0.43
JR Smith,4-6 Feet,0.37,353,0.54
JR Smith,6+ Feet,0.226,216,0.625
