name,dis,freq,fga,eFG
Kevin Durant,0-2 Feet,0.188,317,0.498
Kevin Durant,2-4 Feet,0.469,791,0.537
Kevin Durant,4-6 Feet,0.263,443,0.597
Kevin Durant,6+ Feet,0.08,135,0.711
Carmelo Anthony,0-2 Feet,0.173,284,0.445
Carmelo Anthony,2-4 Feet,0.396,650,0.456
Carmelo Anthony,4-6 Feet,0.295,484,0.528
Carmelo Anthony,6+ Feet,0.135,222,0.658
LaMarcus Aldridge,0-2 Feet,0.165,233,0.498
LaMarcus Aldridge,2-4 Feet,0.376,532,0.43
LaMarcus Aldridge,4-6 Feet,0.296,419,0.463
LaMarcus Aldridge,6+ Feet,0.163,231,0.483
Kevin Love,0-2 Feet,0.184,259,0.49
Kevin Love,2-4 Feet,0.333,470,0.485
Kevin Love,4-6 Feet,0.291,411,0.519
Kevin Love,6+ Feet,0.191,270,0.643
DeMar DeRozan,0-2 Feet,0.155,216,0.463
DeMar DeRozan,2-4 Feet,0.518,720,0.437
DeMar DeRozan,4-6 Feet,0.254,353,0.458
DeMar DeRozan,6+ Feet,0.073,101,0.52
Stephen Curry,0-2 Feet,0.096,130,0.485
Stephen Curry,2-4 Feet,0.345,465,0.488
Stephen Curry,4-6 Feet,0.382,515,0.62
Stephen Curry,6+ Feet,0.177,239,0.634
Al Jefferson,0-2 Feet,0.264,357,0.527
Al Jefferson,2-4 Feet,0.408,551,0.52
Al Jefferson,4-6 Feet,0.235,318,0.478
Al Jefferson,6+ Feet,0.093,126,0.476
Paul George,0-2 Feet,0.179,241,0.38
Paul George,2-4 Feet,0.321,433,0.473
Paul George,4-6 Feet,0.341,459,0.493
Paul George,6+ Feet,0.159,214,0.645
Blake Griffin,0-2 Feet,0.268,364,0.541
Blake Griffin,2-4 Feet,0.291,395,0.61
Blake Griffin,4-6 Feet,0.179,243,0.521
Blake Griffin,6+ Feet,0.261,354,0.445
LeBron James,0-2 Feet,0.181,244,0.656
LeBron James,2-4 Feet,0.336,452,0.671
LeBron James,4-6 Feet,0.333,448,0.484
LeBron James,6+ Feet,0.151,203,0.695
John Wall,0-2 Feet,0.126,166,0.482
John Wall,2-4 Feet,0.36,474,0.466
John Wall,4-6 Feet,0.334,439,0.424
